sku,three_d_template,three_d_type,three_d_shape,three_d_size,three_d_colour,numLang,rs_colour
RS_ACE-L-CAR_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_ASC-ACD_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_BCAA_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_BET-AL_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_CHO-BIT_100G,rs-powder,powder,coarse,0,#ffffff,5,Recovery
RS_CIT-MAL_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_CLA_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_CREAT_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_D-ASP-AC_50G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_D-WHY-UNF_100G,rs-powder,powder,coarse,0,#ffffff,5,Recovery
RS_DEX_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_DMAE_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_GLYC_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_HMB_50G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_INOS_50G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_INUL_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_L-ARG_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_L-GLUT-MC_100G,rs-powder,powder,coarse,0,#ffffff,5,Recovery
RS_L-TYRO_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_MALTODX_100G,rs-powder,powder,coarse,0,#ffffff,5,Performance
RS_MSM_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_TAUR_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_TMG_100G,rs-powder,powder,coarse,0,#ffffff,5,Maintenance
RS_COLL-V-C_100G,rs-powder,powder,coarse,0,#faf8bb,5,Recovery
RS_WHY-UNF_100G,rs-powder,powder,coarse,0,#faf8bb,2,Recovery
RS_WHY-VAN_100G,rs-powder,powder,coarse,0,#faf8bb,2,Recovery
RS_WHY-STR_100G,rs-powder,powder,coarse,0,#f5c4d9,2,Recovery
RS_P-PRT-ISO_100G,rs-powder,powder,coarse,0,#cfb68c,5,Recovery
RS_TONGKAT_50G,rs-powder,powder,coarse,0,#cfb68c,5,Performance
RS_WHY-CHC_100G,rs-powder,powder,coarse,0,#6b4207,5,Recovery
RS_HMP-PRT_100G,rs-powder,powder,coarse,0,#484f1d,5,Recovery